"","variable","description"
"509","PV4MACC","Plausible value 4 in content subscale of math - Change and Relationships"
"510","PV5MACC","Plausible value 5 in content subscale of math - Change and Relationships"
"511","PV1MACQ","Plausible value 1 in content subscale of math - Quantity"
"512","PV2MACQ","Plausible value 2 in content subscale of math - Quantity"
"513","PV3MACQ","Plausible value 3 in content subscale of math - Quantity"
"514","PV4MACQ","Plausible value 4 in content subscale of math - Quantity"
"515","PV5MACQ","Plausible value 5 in content subscale of math - Quantity"
"516","PV1MACS","Plausible value 1 in content subscale of math - Space and Shape"
"517","PV2MACS","Plausible value 2 in content subscale of math - Space and Shape"
"518","PV3MACS","Plausible value 3 in content subscale of math - Space and Shape"
"519","PV4MACS","Plausible value 4 in content subscale of math - Space and Shape"
"520","PV5MACS","Plausible value 5 in content subscale of math - Space and Shape"
"521","PV1MACU","Plausible value 1 in content subscale of math - Uncertainty and Data"
"522","PV2MACU","Plausible value 2 in content subscale of math - Uncertainty and Data"
"523","PV3MACU","Plausible value 3 in content subscale of math - Uncertainty and Data"
"524","PV4MACU","Plausible value 4 in content subscale of math - Uncertainty and Data"
"525","PV5MACU","Plausible value 5 in content subscale of math - Uncertainty and Data"
"526","PV1MAPE","Plausible value 1 in process subscale of math - Employ"
"527","PV2MAPE","Plausible value 2 in process subscale of math - Employ"
"528","PV3MAPE","Plausible value 3 in process subscale of math - Employ"
"529","PV4MAPE","Plausible value 4 in process subscale of math - Employ"
"530","PV5MAPE","Plausible value 5 in process subscale of math - Employ"
"531","PV1MAPF","Plausible value 1 in process subscale of math - Formulate"
"532","PV2MAPF","Plausible value 2 in process subscale of math - Formulate"
"533","PV3MAPF","Plausible value 3 in process subscale of math - Formulate"
"534","PV4MAPF","Plausible value 4 in process subscale of math - Formulate"
"535","PV5MAPF","Plausible value 5 in process subscale of math - Formulate"
"536","PV1MAPI","Plausible value 1 in process subscale of math - Interpret"
"537","PV2MAPI","Plausible value 2 in process subscale of math - Interpret"
"538","PV3MAPI","Plausible value 3 in process subscale of math - Interpret"
"539","PV4MAPI","Plausible value 4 in process subscale of math - Interpret"
"540","PV5MAPI","Plausible value 5 in process subscale of math - Interpret"
"541","PV1READ","Plausible value 1 in reading"
"542","PV2READ","Plausible value 2 in reading"
"543","PV3READ","Plausible value 3 in reading"
"544","PV4READ","Plausible value 4 in reading"
"545","PV5READ","Plausible value 5 in reading"
"546","PV1SCIE","Plausible value 1 in science"
"547","PV2SCIE","Plausible value 2 in science"
"548","PV3SCIE","Plausible value 3 in science"
"549","PV4SCIE","Plausible value 4 in science"
"550","PV5SCIE","Plausible value 5 in science"
"551","W_FSTUWT","FINAL STUDENT WEIGHT"
"552","W_FSTR1","FINAL STUDENT REPLICATE BRR-FAY WEIGHT1"
"553","W_FSTR2","FINAL STUDENT REPLICATE BRR-FAY WEIGHT2"
"554","W_FSTR3","FINAL STUDENT REPLICATE BRR-FAY WEIGHT3"
"555","W_FSTR4","FINAL STUDENT REPLICATE BRR-FAY WEIGHT4"
"556","W_FSTR5","FINAL STUDENT REPLICATE BRR-FAY WEIGHT5"
"557","W_FSTR6","FINAL STUDENT REPLICATE BRR-FAY WEIGHT6"
"558","W_FSTR7","FINAL STUDENT REPLICATE BRR-FAY WEIGHT7"
"559","W_FSTR8","FINAL STUDENT REPLICATE BRR-FAY WEIGHT8"
"560","W_FSTR9","FINAL STUDENT REPLICATE BRR-FAY WEIGHT9"
"561","W_FSTR10","FINAL STUDENT REPLICATE BRR-FAY WEIGHT10"
"562","W_FSTR11","FINAL STUDENT REPLICATE BRR-FAY WEIGHT11"
"563","W_FSTR12","FINAL STUDENT REPLICATE BRR-FAY WEIGHT12"
"564","W_FSTR13","FINAL STUDENT REPLICATE BRR-FAY WEIGHT13"
"565","W_FSTR14","FINAL STUDENT REPLICATE BRR-FAY WEIGHT14"
"566","W_FSTR15","FINAL STUDENT REPLICATE BRR-FAY WEIGHT15"
"567","W_FSTR16","FINAL STUDENT REPLICATE BRR-FAY WEIGHT16"
"568","W_FSTR17","FINAL STUDENT REPLICATE BRR-FAY WEIGHT17"
"569","W_FSTR18","FINAL STUDENT REPLICATE BRR-FAY WEIGHT18"
"570","W_FSTR19","FINAL STUDENT REPLICATE BRR-FAY WEIGHT19"
"571","W_FSTR20","FINAL STUDENT REPLICATE BRR-FAY WEIGHT20"
"572","W_FSTR21","FINAL STUDENT REPLICATE BRR-FAY WEIGHT21"
"573","W_FSTR22","FINAL STUDENT REPLICATE BRR-FAY WEIGHT22"
"574","W_FSTR23","FINAL STUDENT REPLICATE BRR-FAY WEIGHT23"
"575","W_FSTR24","FINAL STUDENT REPLICATE BRR-FAY WEIGHT24"
"576","W_FSTR25","FINAL STUDENT REPLICATE BRR-FAY WEIGHT25"
"577","W_FSTR26","FINAL STUDENT REPLICATE BRR-FAY WEIGHT26"
"578","W_FSTR27","FINAL STUDENT REPLICATE BRR-FAY WEIGHT27"
"579","W_FSTR28","FINAL STUDENT REPLICATE BRR-FAY WEIGHT28"
"580","W_FSTR29","FINAL STUDENT REPLICATE BRR-FAY WEIGHT29"
"581","W_FSTR30","FINAL STUDENT REPLICATE BRR-FAY WEIGHT30"
"582","W_FSTR31","FINAL STUDENT REPLICATE BRR-FAY WEIGHT31"
"583","W_FSTR32","FINAL STUDENT REPLICATE BRR-FAY WEIGHT32"
"584","W_FSTR33","FINAL STUDENT REPLICATE BRR-FAY WEIGHT33"
"585","W_FSTR34","FINAL STUDENT REPLICATE BRR-FAY WEIGHT34"
"586","W_FSTR35","FINAL STUDENT REPLICATE BRR-FAY WEIGHT35"
"587","W_FSTR36","FINAL STUDENT REPLICATE BRR-FAY WEIGHT36"
"588","W_FSTR37","FINAL STUDENT REPLICATE BRR-FAY WEIGHT37"
"589","W_FSTR38","FINAL STUDENT REPLICATE BRR-FAY WEIGHT38"
"590","W_FSTR39","FINAL STUDENT REPLICATE BRR-FAY WEIGHT39"
"591","W_FSTR40","FINAL STUDENT REPLICATE BRR-FAY WEIGHT40"
"592","W_FSTR41","FINAL STUDENT REPLICATE BRR-FAY WEIGHT41"
"593","W_FSTR42","FINAL STUDENT REPLICATE BRR-FAY WEIGHT42"
"594","W_FSTR43","FINAL STUDENT REPLICATE BRR-FAY WEIGHT43"
"595","W_FSTR44","FINAL STUDENT REPLICATE BRR-FAY WEIGHT44"
"596","W_FSTR45","FINAL STUDENT REPLICATE BRR-FAY WEIGHT45"
"597","W_FSTR46","FINAL STUDENT REPLICATE BRR-FAY WEIGHT46"
"598","W_FSTR47","FINAL STUDENT REPLICATE BRR-FAY WEIGHT47"
"599","W_FSTR48","FINAL STUDENT REPLICATE BRR-FAY WEIGHT48"
"600","W_FSTR49","FINAL STUDENT REPLICATE BRR-FAY WEIGHT49"
"601","W_FSTR50","FINAL STUDENT REPLICATE BRR-FAY WEIGHT50"
"602","W_FSTR51","FINAL STUDENT REPLICATE BRR-FAY WEIGHT51"
"603","W_FSTR52","FINAL STUDENT REPLICATE BRR-FAY WEIGHT52"
"604","W_FSTR53","FINAL STUDENT REPLICATE BRR-FAY WEIGHT53"
"605","W_FSTR54","FINAL STUDENT REPLICATE BRR-FAY WEIGHT54"
"606","W_FSTR55","FINAL STUDENT REPLICATE BRR-FAY WEIGHT55"
"607","W_FSTR56","FINAL STUDENT REPLICATE BRR-FAY WEIGHT56"
"608","W_FSTR57","FINAL STUDENT REPLICATE BRR-FAY WEIGHT57"
"609","W_FSTR58","FINAL STUDENT REPLICATE BRR-FAY WEIGHT58"
"610","W_FSTR59","FINAL STUDENT REPLICATE BRR-FAY WEIGHT59"
"611","W_FSTR60","FINAL STUDENT REPLICATE BRR-FAY WEIGHT60"
"612","W_FSTR61","FINAL STUDENT REPLICATE BRR-FAY WEIGHT61"
"613","W_FSTR62","FINAL STUDENT REPLICATE BRR-FAY WEIGHT62"
"614","W_FSTR63","FINAL STUDENT REPLICATE BRR-FAY WEIGHT63"
"615","W_FSTR64","FINAL STUDENT REPLICATE BRR-FAY WEIGHT64"
"616","W_FSTR65","FINAL STUDENT REPLICATE BRR-FAY WEIGHT65"
"617","W_FSTR66","FINAL STUDENT REPLICATE BRR-FAY WEIGHT66"
"618","W_FSTR67","FINAL STUDENT REPLICATE BRR-FAY WEIGHT67"
"619","W_FSTR68","FINAL STUDENT REPLICATE BRR-FAY WEIGHT68"
"620","W_FSTR69","FINAL STUDENT REPLICATE BRR-FAY WEIGHT69"
"621","W_FSTR70","FINAL STUDENT REPLICATE BRR-FAY WEIGHT70"
"622","W_FSTR71","FINAL STUDENT REPLICATE BRR-FAY WEIGHT71"
"623","W_FSTR72","FINAL STUDENT REPLICATE BRR-FAY WEIGHT72"
"624","W_FSTR73","FINAL STUDENT REPLICATE BRR-FAY WEIGHT73"
"625","W_FSTR74","FINAL STUDENT REPLICATE BRR-FAY WEIGHT74"
"626","W_FSTR75","FINAL STUDENT REPLICATE BRR-FAY WEIGHT75"
"627","W_FSTR76","FINAL STUDENT REPLICATE BRR-FAY WEIGHT76"
"628","W_FSTR77","FINAL STUDENT REPLICATE BRR-FAY WEIGHT77"
"629","W_FSTR78","FINAL STUDENT REPLICATE BRR-FAY WEIGHT78"
"630","W_FSTR79","FINAL STUDENT REPLICATE BRR-FAY WEIGHT79"
"631","W_FSTR80","FINAL STUDENT REPLICATE BRR-FAY WEIGHT80"
"632","WVARSTRR","RANDOMIZED FINAL VARIANCE STRATUM (1-80)"
"633","VAR_UNIT","RANDOMLY ASSIGNED VARIANCE UNIT"
"634","SENWGT_STU","Senate weight - sum of weight within the country is 1000"
"635","VER_STU","Date of the database creation"
